# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed May 13 14:59:58 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 9.00000 0.5091509223 2.2466928275    0.509 -1.440  3.5547  4.756    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-15      0.00 7.110e-01 2.743e-01 2.652e-03 7.156e-04 6.490e-03 -1.000 1.475e-02 8.370 9.033 10.155 7.985
0.01471 0.00000 9.00000 0.5500000119 2.2836582633    0.550 -1.310  3.5698  4.719    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-15      0.00 7.130e-01 2.723e-01 2.634e-03 7.107e-04 6.446e-03 -1.000 1.467e-02 8.044 8.615 9.644 7.611
0.01471 0.00000 9.00000 0.5601863861 2.2919158665    0.560 -1.276  3.5747  4.712    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-15      0.00 7.131e-01 2.722e-01 2.633e-03 7.105e-04 6.444e-03 -1.000 1.466e-02 7.959 8.501 9.502 7.511
0.01471 0.00000 9.00000 0.6000000238 2.3211213258    0.600 -1.148  3.5930  4.688    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.23e-15      0.00 7.134e-01 2.720e-01 2.631e-03 7.099e-04 6.439e-03 -1.000 1.461e-02 7.640 8.081 8.989 7.143
0.01471 0.00000 9.00000 0.6152634025 2.3311719739    0.615 -1.098  3.6010  4.681    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-15      0.00 7.135e-01 2.718e-01 2.630e-03 7.096e-04 6.436e-03 -1.000 1.463e-02 7.514 7.916 8.787 6.999
0.01471 0.00000 9.00000 0.6377906799 2.3449998166    0.638 -1.025  3.6126  4.671    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-15      0.00 7.137e-01 2.716e-01 2.629e-03 7.092e-04 6.433e-03 -1.000 1.465e-02 7.334 7.681 8.500 6.794
0.01471 0.00000 9.00000 0.6499999762 2.3520353107    0.650 -0.987  3.6190  4.666    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.45e-15      0.00 7.138e-01 2.716e-01 2.628e-03 7.091e-04 6.432e-03 -1.000 1.465e-02 7.238 7.555 8.348 6.685
0.01471 0.00000 9.00000 0.7000000477 2.3779267258    0.700 -0.833  3.6471  4.656    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-14      0.00 7.141e-01 2.713e-01 2.626e-03 7.084e-04 6.426e-03 -1.000 1.464e-02 6.852 7.035 7.703 6.245
0.01471 0.00000 9.00000 0.7026700377 2.3791906255    0.703 -0.825  3.6486  4.656    0  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 7.141e-01 2.713e-01 2.623e-03 7.083e-04 6.425e-03 -1.000 1.464e-02 6.832 7.006 7.668 6.222
0.01471 0.00000 9.00000 0.7500000000 2.3998889087    0.750 -0.686  3.6754  4.653    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.144e-01 2.710e-01 2.588e-03 7.068e-04 6.420e-03 -1.000 1.461e-02 6.485 6.545 7.104 5.836
